date,open,high,low,close,volume
1994-01-03,2.6462,2.676,2.4976,2.5273,717790
1994-01-04,2.4975,2.6462,2.4381,2.5719,1237041
1994-01-05,2.5868,2.7057,2.5571,2.676,1118722
1994-01-06,3.0922,3.2706,3.0625,3.1517,6389847
1994-01-07,3.2112,3.2112,3.0923,3.122,2246680
1994-01-10,3.1517,3.1815,3.0625,3.1071,1320710
1994-01-11,3.0923,3.1517,3.0625,3.122,827374
1994-01-12,3.1517,3.1517,3.0922,3.1517,419706
1994-01-13,3.122,3.122,3.0328,3.122,738228
1994-01-14,3.0625,3.1815,3.0625,3.122,665080
1994-01-17,3.1517,3.3004,3.0923,3.3004,771383
1994-01-18,3.2706,3.3004,3.1814,3.2409,814935
1994-01-19,3.1815,3.2409,3.1517,3.2261,765891
1994-01-20,3.241,3.3004,3.2112,3.2707,737081
1994-01-21,3.3065,3.515,3.2767,3.4554,1939631
1994-01-24,3.3661,3.4256,3.3065,3.3065,652890
1994-01-25,3.3661,3.3661,3.2767,3.3661,805257
1994-01-26,3.3363,3.4852,3.3363,3.4554,943216
1994-01-27,3.4256,3.6044,3.3958,3.6044,1070091
1994-01-28,3.5746,3.6937,3.5746,3.6937,1215576
1994-01-31,3.6342,3.6938,3.5746,3.6044,764502
1994-02-01,3.6342,3.6342,3.4554,3.4554,450222
1994-02-02,3.515,3.5448,3.4256,3.5001,652014
1994-02-03,3.4852,3.5448,3.4256,3.4703,545902
1994-02-04,3.4554,3.4852,3.2469,3.2469,1015052
1994-02-07,3.1874,3.3959,3.1576,3.3363,946704
1994-02-08,3.3958,3.3958,3.2767,3.2767,548225
1994-02-09,3.3064,3.515,3.2767,3.515,1090741
1994-02-10,3.515,3.6044,3.4554,3.4852,1688217
1994-02-11,3.4852,3.5746,3.366,3.4405,512783
1994-02-14,3.4554,3.6044,3.3958,3.5746,841452
1994-02-15,3.5449,3.6342,3.5449,3.6193,878152
1994-02-16,3.6639,3.8129,3.6342,3.7533,1262316
1994-02-17,3.7235,3.8128,3.6043,3.6341,1103375
1994-02-18,3.664,3.664,3.515,3.6044,716226
1994-02-22,3.5746,3.664,3.5746,3.6044,369989
1994-02-23,3.664,3.664,3.5746,3.6044,404941
1994-02-24,3.5746,3.6043,3.4256,3.4405,658188
1994-02-25,3.4554,3.5448,3.4256,3.4405,478797
1994-02-28,3.4554,3.5448,3.4554,3.4852,495217
1994-03-01,3.5448,3.5448,3.366,3.4256,338510
1994-03-02,3.2767,3.4256,3.2469,3.4256,941184
1994-03-03,3.4257,3.4257,3.3065,3.3363,844454
1994-03-04,3.3363,3.3661,3.3363,3.3661,853630
1994-03-07,3.3959,3.6044,3.3661,3.5597,1413047
1994-03-08,3.5746,3.5746,3.4852,3.5448,247559
1994-03-09,3.5448,3.7235,3.4554,3.7086,1087076
1994-03-10,3.6938,3.8725,3.6938,3.8576,1451778
1994-03-11,3.8426,3.9916,3.8128,3.9469,1009342
1994-03-14,3.932,4.081,3.932,4.0214,758997
1994-03-15,4.0512,4.1108,3.8725,3.8725,1129381
1994-03-16,3.6639,3.7235,3.3958,3.515,5007732
1994-03-17,3.5448,3.7235,3.515,3.6788,2517480
1994-03-18,3.6341,3.6341,3.515,3.515,3167270
1994-03-21,3.5448,3.5448,3.4256,3.4554,1176292
1994-03-22,3.4555,3.4852,3.3065,3.3661,1468773
1994-03-23,3.3661,3.3661,3.2916,3.3065,1328374
1994-03-24,3.3362,3.3362,3.1277,3.1724,971585
1994-03-25,3.1576,3.2172,3.098,3.1278,816456
1994-03-28,3.104,3.1637,2.9249,2.9398,1520156
1994-03-29,2.9547,2.9846,2.8055,2.9398,1240580
1994-03-30,2.9547,3.0144,2.8951,2.9249,795677
1994-03-31,2.895,2.9547,2.8353,2.895,1043599
1994-04-04,2.7458,2.895,2.6562,2.8353,1059459
1994-04-05,2.895,3.1338,2.8354,3.1338,1862509
1994-04-06,3.1338,3.1935,2.9846,3.0592,1473346
1994-04-07,3.0741,3.1039,2.895,2.9547,948607
1994-04-08,2.9846,2.9846,2.8652,2.8801,562341
1994-04-11,2.8652,2.9845,2.8055,2.9547,964182
1994-04-12,2.9547,2.9547,2.8353,2.8353,499451
1994-04-13,2.8354,2.9249,2.5667,2.6115,1860762
1994-04-14,2.6264,2.9846,2.5667,2.8652,2424943
1994-04-15,2.8652,2.9547,2.8204,2.9025,976384
1994-04-18,2.9249,2.9846,2.8055,2.8652,555279
1994-04-19,2.9696,2.9845,2.8055,2.9547,626278
1994-04-20,2.9548,3.0145,2.8653,2.91,739967
1994-04-21,2.9249,3.1039,2.9249,3.0741,1188430
1994-04-22,3.0443,3.0741,2.9548,2.9846,406789
1994-04-25,3.0145,3.104,2.9548,3.104,410371
1994-04-26,3.1039,3.1934,2.895,2.9547,2028197
1994-04-28,2.9846,3.2085,2.9249,3.0443,2391694
1994-04-29,3.0443,3.2532,2.9995,3.1935,1128654
1994-05-02,3.1636,3.3128,3.1636,3.283,870352
1994-05-03,3.3128,3.3278,3.1935,3.2233,428645
1994-05-04,3.2532,3.3129,3.2085,3.2383,639350
1994-05-05,3.1935,3.2532,3.1338,3.1338,359674
1994-05-06,3.1039,3.1338,3.0443,3.089,494913
1994-05-09,2.9846,3.104,2.8652,2.9249,873165
1994-05-10,2.9846,2.9846,2.8354,2.8652,1171019
1994-05-11,2.9249,2.9249,2.8354,2.8876,664702
1994-05-12,2.9547,3.0443,2.8652,2.9249,1106209
1994-05-13,2.9248,2.9547,2.8353,2.895,306560
1994-05-16,2.8652,3.0144,2.8652,2.9547,773900
1994-05-17,2.9548,3.0741,2.8951,3.0443,701943
1994-05-18,3.0144,3.2233,3.0144,3.1935,696714
1994-05-19,3.2085,3.3427,3.1637,3.3129,1854597
1994-05-20,3.3129,3.5517,3.1935,3.4323,3640534
1994-05-23,3.4323,3.5218,3.3129,3.5069,1745276
1994-05-24,3.4919,3.5367,3.3725,3.4919,884475
1994-05-25,3.4621,3.5218,3.4322,3.477,671844
1994-05-26,3.4322,3.4621,3.3726,3.4024,517843
1994-05-27,3.4024,3.4024,3.283,3.283,575688
1994-05-31,3.2234,3.4621,3.1935,3.4323,807879
1994-06-01,3.4024,3.5815,3.3725,3.5815,1282172
