date,open,high,low,close,volume
2008-01-02,17.1166,17.2276,16.7426,16.9268,4271825
2008-01-03,16.9285,16.9678,16.7126,16.9303,3226020
2008-01-04,16.7909,16.8223,16.181,16.2304,5316150
2008-01-07,16.1549,16.3609,15.7449,16.0389,6351253
2008-01-08,16.1315,16.3035,15.5881,15.6049,5295619
2008-01-09,15.5645,16.14,15.3783,16.1365,6684822
2008-01-10,15.9342,16.2353,15.8132,15.9767,6282618
2008-01-11,15.8772,16.0444,15.5662,15.7673,4936482
2008-01-14,16.0856,16.2402,15.9401,16.1519,4411282
2008-01-15,15.9562,16.0341,15.6964,15.7524,5522859
2008-01-16,15.5379,15.8102,14.8701,15.2163,10474028
2008-01-17,15.3351,15.4582,14.7731,14.8418,8149883
2008-01-18,15.0288,15.0691,14.784,14.8285,8470077
2008-01-22,13.8843,14.7606,13.8638,14.4357,9424141
2008-01-23,13.8517,14.0318,12.8213,13.553,16827530
2008-01-24,13.8045,14.3206,13.6895,14.1921,9324379
2008-01-25,14.62,14.6988,13.9868,13.9922,6909276
2008-01-28,14.1051,14.1365,13.5525,13.7348,5769320
2008-01-29,13.8457,13.8669,13.3566,13.5999,6231814
2008-01-30,13.5671,13.8447,13.4268,13.5444,7874938
2008-01-31,13.3156,14.1553,13.199,13.9404,14750234
2008-02-01,13.0602,13.2578,12.599,12.7447,17457239
2008-02-04,12.576,12.6676,12.1679,12.239,13049943
2008-02-05,12.0908,12.5743,12.0683,12.5199,11112071
2008-02-06,12.6271,12.6278,12.3008,12.3941,7574181
2008-02-07,12.2743,12.7024,12.2224,12.4742,7864336
2008-02-08,12.5844,12.7899,12.5668,12.7642,6773307
2008-02-11,12.8588,12.9377,12.683,12.8746,5778560
2008-02-12,12.9298,13.1078,12.6738,12.7988,6608045
2008-02-13,12.9077,13.2163,12.8136,13.2072,6570774
2008-02-14,13.2993,13.3658,13.1178,13.1487,6423979
2008-02-15,13.0512,13.1588,12.953,13.0842,5197436
2008-02-19,13.2151,13.218,12.5124,12.573,6298682
2008-02-20,12.4386,12.6239,12.3227,12.5743,6607951
2008-02-21,12.6694,12.6783,12.3396,12.4226,5631580
2008-02-22,12.4028,12.5743,12.2914,12.5446,5470982
2008-02-25,12.4989,12.5124,11.9997,12.0169,8304599
2008-02-26,11.3934,11.5237,11.039,11.4673,23097831
2008-02-27,11.367,11.7465,11.3549,11.6815,10039476
2008-02-28,11.6231,11.8354,11.5456,11.744,6533261
2008-02-29,11.6569,11.8514,11.4786,11.6399,9348609
2008-03-03,11.648,11.6779,11.1193,11.2901,7492955
2008-03-04,11.1402,11.1998,10.7654,10.9833,13510751
2008-03-05,10.9994,11.2197,10.9684,11.0599,7376041
2008-03-06,11.0597,11.1982,10.6517,10.6893,7409239
2008-03-07,10.595,10.8696,10.5298,10.7054,8006068
2008-03-10,10.5937,10.6474,10.2036,10.218,7922559
2008-03-11,10.5056,10.8735,10.4905,10.8657,8755036
2008-03-12,10.8699,11.0643,10.822,10.8741,6597714
2008-03-13,10.6886,11.0421,10.5925,10.944,7663652
2008-03-14,10.9433,11.1005,10.638,10.8183,6520864
2008-03-17,10.5729,10.7143,10.1806,10.3724,7823932
2008-03-18,10.5975,10.8904,10.5122,10.8489,7178245
2008-03-19,10.8972,11.055,10.664,10.6721,6128711
2008-03-20,10.5564,10.7634,10.3139,10.7104,9832680
2008-03-24,10.8309,11.5066,10.8133,11.3776,6708427
2008-03-25,11.301,11.3012,11.018,11.136,5784117
2008-03-26,11.1808,11.4347,11.0992,11.3191,5183171
2008-03-27,11.0179,11.0824,10.8817,10.9704,5784694
2008-03-28,11.0539,11.2049,10.7291,10.8222,4340543
2008-03-31,10.762,10.9362,10.6723,10.8813,4410215
2008-04-01,11.0608,11.5242,11.0393,11.5048,6043447
2008-04-02,11.6082,11.7525,11.3733,11.5045,5950112
2008-04-03,11.4064,11.445,11.0705,11.2432,6723200
2008-04-04,11.29,11.8042,11.2699,11.6378,5849191
2008-04-07,11.7844,11.9922,11.6979,11.7793,5895087
2008-04-08,11.6859,11.713,11.4134,11.5567,4509974
2008-04-09,11.5894,11.6602,11.3031,11.4673,5998892
2008-04-10,11.4864,11.7062,11.4094,11.5881,5031108
2008-04-11,11.4642,11.5431,11.2405,11.3007,4135740
2008-04-14,11.2936,11.3007,11.1204,11.1577,3811316
2008-04-15,11.3176,11.3568,10.9616,11.0387,4540321
2008-04-16,10.9783,11.3212,10.8944,11.241,7568541
2008-04-17,11.2558,11.3482,11.0307,11.1053,13244255
2008-04-18,13.2218,13.5303,12.9638,13.3255,18087118
2008-04-21,13.325,13.404,13.1001,13.2854,7379106
2008-04-22,13.2801,13.8546,13.2798,13.7106,7873842
2008-04-23,13.7833,13.8172,13.3635,13.5004,4881444
2008-04-24,13.6191,13.6981,13.3406,13.4152,4101438
2008-04-25,13.5629,13.6613,13.4075,13.4404,4130500
2008-04-28,13.4852,13.7553,13.3153,13.6395,3975950
2008-04-29,13.6075,13.9181,13.5873,13.7963,4310596
2008-04-30,13.8888,14.4483,13.7963,14.1871,7838639
2008-05-01,14.2865,14.697,14.2534,14.6513,6549035
2008-05-02,14.785,14.8828,14.3109,14.3601,6941790
2008-05-05,14.7941,14.7976,14.5043,14.6963,6229850
2008-05-06,14.5999,14.6246,14.4023,14.4854,4591608
2008-05-07,14.5819,14.8098,14.24,14.3035,6559165
2008-05-08,14.4815,14.5581,14.3014,14.4026,5081209
2008-05-09,14.3034,14.4517,14.1133,14.1602,4448353
2008-05-12,14.1986,14.495,14.0542,14.4503,4824307
2008-05-13,14.4822,14.5247,14.2924,14.4024,5121478
2008-05-14,14.4885,14.6046,14.2109,14.2368,4340163
2008-05-15,14.3035,14.4011,14.2198,14.353,4307360
2008-05-16,14.3636,14.4438,14.2868,14.33,4239311
2008-05-19,14.2923,14.5475,14.1682,14.267,5558861
2008-05-20,14.1955,14.3894,14.153,14.2936,3286609
2008-05-21,14.2917,14.3631,13.535,13.5869,6415450
2008-05-22,13.6353,13.6911,13.3463,13.5738,5034976
2008-05-23,13.5119,13.6612,13.2859,13.4542,4395398
2008-05-27,13.4625,13.8983,13.4352,13.8563,3834015
2008-05-28,14.0304,14.118,13.8614,14.0378,4017431
2008-05-29,14.1996,14.4735,14.1604,14.4024,4805570
2008-05-30,14.414,14.5733,14.3603,14.4715,3198937
2008-06-02,14.39,14.4243,14.1126,14.2047,3644293
2008-06-03,14.2417,14.3405,13.8491,14.0144,4270217
2008-06-04,13.9658,14.2787,13.9465,14.136,3335808
2008-06-05,14.256,14.5268,14.2346,14.4839,3884805
2008-06-06,14.3221,14.346,14.0071,14.0071,4695957
2008-06-09,14.0333,14.0812,13.4735,13.7816,5245247
2008-06-10,13.5762,13.8049,13.5076,13.6901,3627612
2008-06-11,13.7412,13.7685,13.4502,13.4685,3781844
2008-06-12,13.5565,13.7848,13.51,13.66,5446909
2008-06-13,13.871,14.2221,13.8673,14.1185,6134047
2008-06-16,13.9947,14.3059,13.9947,14.1506,3513951
2008-06-17,14.238,14.2805,14.0411,14.0678,3434691
2008-06-18,13.9455,14.0561,13.8134,13.8929,3353657
2008-06-19,13.7193,13.9276,13.6071,13.8391,5636829
2008-06-20,13.7595,13.7595,13.4515,13.4989,5934396
2008-06-23,13.4725,13.6649,13.3899,13.4688,3606286
2008-06-24,13.4671,13.6166,13.219,13.3969,4634556
2008-06-25,13.4628,13.7798,13.4307,13.6118,4088630
2008-06-26,13.4413,13.4618,13.05,13.0638,5613402
2008-06-27,13.0357,13.093,12.7247,13.0454,5403141
2008-06-30,13.154,13.2907,12.9216,13.0046,3734628
2008-07-01,12.8356,13.259,12.7719,13.2098,4919501
2008-07-02,13.2538,13.3494,12.9956,13.0199,4188594
2008-07-03,13.1148,13.3211,13.0314,13.266,2380961
2008-07-07,13.3969,13.5623,13.2314,13.4367,4220547
2008-07-08,13.488,13.7153,13.3401,13.699,4892230
2008-07-09,13.6059,13.7275,13.3581,13.3784,4120187
2008-07-10,13.4636,13.5748,13.1109,13.3542,4296443
2008-07-11,13.2535,13.3277,12.8319,13.1869,4940816
2008-07-14,13.3154,13.3415,12.7336,12.886,4388765
2008-07-15,12.754,13.0313,12.379,12.7494,6021541
2008-07-16,12.6988,13.2536,12.6138,13.2314,4703595
2008-07-17,13.1957,13.2672,12.9571,13.178,8715837
2008-07-18,12.3111,12.3267,11.8131,11.8905,11200449
2008-07-21,11.8795,11.9589,11.5045,11.5811,5853416
2008-07-22,11.5297,11.8639,11.502,11.7864,4653280
2008-07-23,11.8976,12.2835,11.8109,12.0856,4854244
2008-07-24,12.2703,12.2746,11.7496,11.7496,3512056
2008-07-25,12.0181,12.1822,11.8948,12.1538,3157567
2008-07-28,12.1565,12.1565,11.7375,11.7867,3134257
2008-07-29,11.8406,12.0372,11.8084,11.9346,2779973
2008-07-30,11.9938,12.0065,11.6802,11.9245,3462278
2008-07-31,11.7234,11.8798,11.6463,11.7034,2841760
2008-08-01,11.6728,11.6904,11.4255,11.5579,2983411
2008-08-04,11.5643,11.6852,11.4107,11.4379,2466744
2008-08-05,11.5513,11.8598,11.5201,11.8542,3555317
2008-08-06,11.8176,12.0992,11.6728,12.0145,3348322
2008-08-07,11.9072,11.9566,11.7691,11.8361,2751202
2008-08-08,11.8615,12.2469,11.7513,12.2286,3708838
2008-08-11,12.1659,12.5713,12.1488,12.3726,4204774
2008-08-12,12.4013,12.5034,12.3026,12.4164,2733273
2008-08-13,12.3915,12.4394,12.2007,12.3527,3595976
