date,open,high,low,close,volume
2014-01-02,68.6525,68.6976,68.0121,68.4992,1222865
2014-01-03,68.3279,68.8962,68.1295,68.373,900936
2014-01-06,68.3729,68.5533,68.0753,68.3188,1144390
2014-01-07,68.4451,69.7711,68.3188,69.5095,1399030
2014-01-08,69.5276,69.6723,68.7319,69.1207,2204194
2014-01-09,69.4462,69.6271,69.0122,69.2925,1021800
2014-01-10,69.5366,69.5909,68.5691,68.9398,1053629
2014-01-13,68.7047,68.9217,67.6558,67.8276,1002810
2014-01-14,68.126,68.7952,67.9542,68.7771,1007061
2014-01-15,68.9308,69.826,68.6776,69.4281,1162500
2014-01-16,69.1388,69.7627,69.0484,69.4372,1329697
2014-01-17,68.7771,70.1515,68.7771,69.618,1595544
2014-01-21,70.2872,70.3324,68.8223,68.8856,1111592
2014-01-22,68.7319,68.8675,67.9723,68.334,2581899
2014-01-23,67.8728,68.4877,67.6829,68.1079,1211058
2014-01-24,67.918,68.2074,66.1638,66.2271,1582253
2014-01-27,66.1728,66.4531,65.8563,66.0643,1510726
2014-01-28,66.3265,67.0228,66.1728,66.4441,1606396
2014-01-29,66.2632,66.9052,65.9106,66.1728,1463524
2014-01-30,66.435,67.4207,66.1909,67.0861,1031565
2014-01-31,66.2451,66.5074,65.7026,66.2361,1902355
2014-02-03,66.4532,66.7245,63.9394,64.0298,2250945
2014-02-04,64.1654,64.3553,63.9303,64.1202,1566428
2014-02-05,63.7856,64.2106,63.6228,63.9755,1322643
2014-02-06,63.9574,64.5271,63.9574,64.2287,1438296
2014-02-07,64.4638,64.8617,64.2106,64.6085,1909862
2014-02-10,64.6899,64.717,64.1925,64.6085,1604859
2014-02-11,64.5633,66.0101,64.5633,65.7569,1676385
2014-02-12,64.6537,65.7568,62.4111,63.0441,4581458
2014-02-13,62.8362,63.9846,62.5016,63.9484,2861854
2014-02-14,63.7947,64.9883,63.5867,64.8255,2252119
2014-02-18,65.0154,66.2452,64.8165,66.0553,2251125
2014-02-19,66.1818,66.8238,65.8834,66.3898,2133751
2014-02-20,66.6159,67.0861,66.0463,66.7787,1712645
2014-02-21,68.2436,71.2005,67.0952,69.8441,4895869
2014-02-24,69.3287,70.6941,69.0936,69.9978,2423564
2014-02-25,70.1243,70.2238,69.3105,69.9254,1381056
2014-02-26,73.4339,73.4339,69.835,70.26,1115027
2014-02-27,70.2329,70.676,69.7084,70.6217,1166027
2014-02-28,69.9797,70.8025,69.8712,70.6669,2096135
2014-03-03,71.0648,71.2004,69.835,70.4137,1466960
2014-03-04,71.0106,73.4611,70.9925,73.1627,2766908
2014-03-05,73.1446,73.1446,72.4483,72.9095,1704417
2014-03-06,72.7467,73.3526,72.7377,72.9999,1173532
2014-03-07,73.5062,74.4919,72.8552,74.3291,2511998
2014-03-10,73.9312,74.4467,73.5243,73.9855,1979397
2014-03-11,74.2026,74.51,73.0903,73.4882,1521577
2014-03-12,73.3254,73.4158,72.7828,73.1807,1915104
2014-03-13,73.3887,73.6419,72.2855,72.4754,1409269
2014-03-14,72.4754,72.6924,71.969,72.2584,1183479
2014-03-17,72.5568,73.4068,72.3488,72.8371,1071442
2014-03-18,72.7829,73.1084,72.5116,72.9366,1046486
2014-03-19,72.593,73.018,72.0143,72.5297,1056794
