date,open,high,low,close,volume
2001-01-02,1.2681,1.3,1.2045,1.2204,2343762
2001-01-03,1.2151,1.4645,1.2151,1.4645,6451356
2001-01-04,1.4432,1.6395,1.4326,1.5441,7323438
2001-01-05,1.5494,1.6449,1.5176,1.5547,7817733
2001-01-08,1.5494,1.645,1.5016,1.6357,4163538
2001-01-09,1.6581,1.6661,1.56,1.6077,4150713
2001-01-10,1.5069,1.7298,1.5069,1.6926,5232908
2001-01-11,1.6687,1.9208,1.6608,1.8624,7078258
2001-01-12,1.8624,1.9261,1.751,1.7563,5637360
2001-01-16,1.7511,1.7935,1.6662,1.7139,3324815
2001-01-17,1.9155,2.0376,1.8944,1.9155,11145677
2001-01-18,1.9261,2.0216,1.8465,1.958,4555536
2001-01-19,2.0058,2.027,1.889,1.9315,3756959
2001-01-22,1.8997,1.9155,1.8254,1.8466,1985328
2001-01-23,1.8094,1.889,1.7723,1.8784,3777855
2001-01-24,2.027,2.1119,2.0111,2.1066,10525019
2001-01-25,2.0853,2.1437,1.9686,2.0111,5738868
2001-01-26,1.9261,2.0429,1.9208,1.9739,3809585
2001-01-29,1.9633,2.0959,1.9314,2.0906,2183478
2001-01-30,2.0642,2.2392,2.0642,2.1703,3591357
2001-01-31,2.1649,2.2923,2.1491,2.2445,4788697
2001-02-01,2.2127,2.287,2.165,2.2552,2844321
2001-02-02,2.2499,2.2817,2.1013,2.1119,2521290
2001-02-05,2.0482,2.0588,1.9421,1.9792,2506772
2001-02-06,1.9791,2.08,1.9314,1.958,3131883
2001-02-07,1.9315,1.9527,1.8094,1.8944,2928921
2001-02-08,1.8996,1.9632,1.8571,1.8837,2505403
2001-02-09,1.8677,1.9368,1.8413,1.8624,2073880
2001-02-12,1.8784,1.9686,1.8572,1.9315,2156828
2001-02-13,1.9421,1.9686,1.836,1.8466,1883362
2001-02-14,1.8624,2.1383,1.8572,2.0694,5858503
2001-02-15,2.1278,2.2711,2.1172,2.218,4134437
2001-02-16,2.1066,2.1703,2.027,2.1491,3542496
2001-02-20,2.1491,2.2022,2.0323,2.0642,3082673
2001-02-21,1.9791,2.1623,1.942,2.0057,4174403
2001-02-22,2.0005,2.1437,1.9368,2.08,4238446
2001-02-23,2.0694,2.0959,1.889,2.0906,3234678
2001-02-26,2.096,2.096,1.9952,2.0376,2670699
2001-02-27,1.9899,2.0588,1.9315,1.9527,2889656
2001-02-28,1.9526,1.9633,1.7722,1.8253,4787804
2001-03-01,1.6821,1.9208,1.629,1.9102,6253655
2001-03-02,1.836,2.0482,1.8148,1.9315,4381661
2001-03-05,1.9633,2.1013,1.9527,2.096,4239119
2001-03-06,2.1225,2.3347,2.1225,2.2498,6734118
2001-03-07,2.2498,2.2857,2.1491,2.2764,4526651
2001-03-08,2.271,2.3188,2.1914,2.2869,3511300
2001-03-09,2.2021,2.218,2.0907,2.096,2900848
2001-03-12,2.0164,2.1649,2.0057,2.0588,3710255
2001-03-13,2.0747,2.2074,2.0642,2.1742,5303948
2001-03-14,2.1012,2.3029,2.08,2.1914,3986239
2001-03-15,2.283,2.3029,2.0482,2.0747,2586392
2001-03-16,2.0269,2.0588,1.9102,1.9474,3641633
2001-03-19,1.9527,2.0641,1.8784,2.0588,2569807
2001-03-20,2.0482,2.1544,2.0164,2.0164,3831075
2001-03-21,2.0216,2.218,2.0216,2.08,5420565
2001-03-22,2.1491,2.3772,2.1437,2.3706,6843513
2001-03-23,2.5098,2.5576,2.3878,2.4992,9872167
2001-03-26,2.5045,2.547,2.3453,2.3719,4486302
2001-03-27,2.3241,2.5151,2.3189,2.3878,3840856
2001-03-28,2.3453,2.4461,2.2392,2.2604,3955042
2001-03-29,2.2339,2.352,2.1331,2.1862,4252435
2001-03-30,2.1438,2.1438,1.9421,2.0164,7829490
2001-04-02,1.9845,2.0747,1.8094,1.8413,4261275
2001-04-03,1.8253,1.8837,1.7404,1.7935,5664573
2001-04-04,1.7934,1.8199,1.6449,1.6661,4597502
2001-04-05,1.7723,2.0057,1.7616,1.9845,4930899
2001-04-06,1.9314,1.9632,1.8253,1.873,3853565
2001-04-09,1.8763,1.9018,1.709,1.788,3856680
2001-04-10,1.8007,1.9807,1.7515,1.9527,4148129
2001-04-11,2.1904,2.2923,2.0716,2.086,12583666
2001-04-12,2.0266,2.3772,2.0266,2.3772,9053736
2001-04-16,2.2914,2.4069,2.26,2.3296,4456633
2001-04-17,2.2626,2.3899,2.2558,2.3305,4970035
2001-04-18,2.4561,2.6488,2.4535,2.5274,8506819
2001-04-19,2.5478,2.687,2.5019,2.6658,3589831
2001-04-20,2.6522,2.6938,2.4451,2.5215,5318582
2001-04-23,2.4103,2.4408,2.3347,2.3347,2756644
2001-04-24,2.367,2.5504,2.3305,2.3967,5681104
2001-04-25,2.3822,2.4807,2.3322,2.4196,4408257
2001-04-26,2.4825,2.5054,2.3364,2.3772,3448723
2001-04-27,2.4663,2.513,2.4043,2.4646,1688883
2001-04-30,2.4858,2.6234,2.4578,2.513,2674223
2001-05-01,2.513,2.53,2.3729,2.5181,2413250
2001-05-02,2.5309,2.581,2.4723,2.5037,3081274
2001-05-03,2.3882,2.3984,2.2855,2.3135,3645312
2001-05-04,2.2141,2.3372,2.2099,2.333,2408390
2001-05-07,2.3253,2.3754,2.254,2.2829,1963854
2001-05-08,2.3398,2.4391,2.305,2.4349,2500697
2001-05-09,2.373,2.4434,2.322,2.3755,3098762
2001-05-10,2.6404,2.6557,2.5275,2.5419,7264876
2001-05-11,2.5436,2.586,2.5003,2.5419,2690475
2001-05-14,2.5283,2.5436,2.3993,2.457,2839049
2001-05-15,2.4552,2.5851,2.4247,2.496,2889672
2001-05-16,2.4511,2.7049,2.4451,2.6871,4012481
2001-05-17,2.5844,2.6829,2.5699,2.6523,5721633
2001-05-18,2.6336,2.6913,2.6217,2.6404,2353267
2001-05-21,2.6412,2.8441,2.6361,2.8441,3667106
2001-05-22,2.8433,2.8662,2.7703,2.7762,2479393
2001-05-23,2.7185,2.7296,2.5895,2.6022,2538610
2001-05-24,2.6013,2.6191,2.5071,2.6064,2032398
2001-05-25,2.6446,2.6751,2.5682,2.5809,1329673
2001-05-29,2.5538,2.5563,2.3772,2.4205,2447583
2001-05-30,2.3789,2.3857,2.2397,2.2456,2894404
2001-05-31,2.2388,2.3899,2.2379,2.3449,2568863
2001-06-01,2.3797,2.44,2.3263,2.4154,1879852
2001-06-04,2.423,2.4273,2.3509,2.3738,840933
2001-06-05,2.3831,2.5656,2.3806,2.5079,1824722
2001-06-06,2.5105,2.5852,2.4324,2.5521,2117326
2001-06-07,2.5385,2.7244,2.5317,2.7168,2998244
2001-06-08,2.6981,2.7337,2.6463,2.7227,1900117
2001-06-11,2.6998,2.7015,2.5792,2.5809,1581056
2001-06-12,2.502,2.6107,2.4536,2.5801,2220805
2001-06-13,2.5852,2.6403,2.502,2.5045,1793731
2001-06-14,2.4671,2.5002,2.3652,2.4009,2130247
2001-06-15,2.3305,2.4408,2.3262,2.4145,1605676
2001-06-18,2.5232,2.547,2.4451,2.4706,3024320
2001-06-19,2.5461,2.6013,2.4578,2.4943,3797058
2001-06-20,2.4129,2.4231,2.1896,2.3008,6784134
2001-06-21,2.2922,2.4858,2.2498,2.4026,3722926
2001-06-22,2.3814,2.4986,2.3466,2.4196,2298280
2001-06-25,2.4238,2.4621,2.3619,2.4213,1178304
2001-06-26,2.35,2.4111,2.3245,2.3763,2288006
2001-06-27,2.3644,2.3814,2.2965,2.3644,2171258
2001-06-28,2.3806,2.4986,2.3797,2.4434,1330286
2001-06-29,2.4757,2.5767,2.4655,2.5173,1790042
2001-07-02,2.535,2.5427,2.4833,2.4909,1509482
2001-07-03,2.4791,2.5173,2.4621,2.5071,740074
2001-07-05,2.457,2.5266,2.39,2.4358,1625084
2001-07-06,2.361,2.361,2.2031,2.2065,2484201
