date,open,high,low,close,volume
2024-01-02,348.585,350.41,337.363,343.594,18893933
2024-01-03,342.294,345.241,340.508,341.788,15330791
2024-01-04,341.818,345.439,340.726,344.417,12005686
2024-01-05,344.288,350.747,343.564,349.21,13812309
2024-01-08,351.938,356.185,349.309,355.867,13782048
2024-01-09,353.625,357.832,352.593,354.647,13359064
2024-01-10,357.366,370.036,356.284,367.585,21944988
2024-01-11,369.232,369.877,360.104,366.792,17071432
2024-01-12,367.278,374.124,366.663,371.574,19159646
2024-01-16,370.741,372.685,364.371,364.599,15187714
2024-01-17,363.448,365.67,355.818,365.502,12625719
2024-01-18,368.597,373.916,368.062,373.201,16226959
2024-01-19,376.049,381.367,375.027,380.464,21502062
2024-01-22,384.929,387.311,378.192,378.807,17542832
2024-01-23,381.625,385.356,379.105,382.201,15385364
2024-01-24,386.963,393.065,384.79,387.658,15576267
2024-01-25,387.132,392.411,382.657,390.119,14973597
2024-01-26,391.28,393.701,388.541,391.071,13061203
2024-01-29,391.914,399.793,390.039,397.897,18596464
2024-01-30,400.448,403.196,396.459,396.945,18469760
2024-01-31,385.971,394.901,384.086,387.102,20023663
2024-02-01,390.873,397.382,389.99,391.706,29495634
2024-02-02,456.021,482.176,449.483,471.292,84048044
2024-02-05,466.221,468.226,455.644,455.833,40514467
2024-02-06,460.387,463.483,449.473,451.179,21486585
2024-02-07,454.434,467.849,452.628,465.934,22886400
2024-02-08,464.673,466.926,461.409,466.34,18668598
2024-02-09,469.267,469.902,463.83,464.465,18269728
2024-02-12,464.544,475.419,462.947,465.249,19231086
2024-02-13,453.313,464.247,451.547,456.537,20753739
2024-02-14,464.287,470.418,462.461,469.595,16727135
2024-02-15,471.579,484.815,468.543,480.261,24023776
2024-02-16,474.387,475.231,465.557,469.635,23142988
2024-02-20,466.063,472.472,462.927,468.077,17875225
2024-02-21,463.359,465.842,458.681,464.879,12834791
2024-02-22,477.006,486.691,472.854,482.857,21480181
2024-02-23,484.764,491.031,479.102,480.771,18250573
2024-02-26,480.215,482.867,477.364,478.496,12019915
2024-02-27,476.748,483.989,476.688,483.77,10736812
2024-02-28,481.734,487.743,479.499,480.761,12629879
2024-02-29,485.151,488.389,479.36,486.83,17612601
2024-03-01,488.796,500.855,488.538,498.918,16164020
2024-03-04,499.613,501.023,493.077,494.835,12241115
2024-03-05,491.667,492.243,484.605,486.919,15222107
2024-03-06,494.279,499.583,490.962,492.75,11678726
2024-03-07,499.891,516.349,498.004,508.741,18461246
2024-03-08,510.728,520.044,495.987,502.543,18471873
2024-03-11,493.663,493.971,472.795,480.334,20290744
2024-03-12,489.939,498.928,481.466,496.385,15344179
2024-03-13,492.054,497.607,487.724,492.233,12009285
2024-03-14,496.891,497.974,484.873,488.518,12535022
2024-03-15,485.717,488.518,478.059,480.84,28957293
2024-03-18,488.598,494.07,483.532,493.634,11676144
2024-03-19,484.883,493.286,478.039,492.898,10829682
2024-03-20,496.137,504.778,491.836,502.116,11632241
2024-03-21,511.244,511.572,502.603,504.341,9647101
2024-03-22,503.586,506.536,500.944,506.149,8065919
2024-03-25,502.384,503.805,496.872,499.633,8324169
2024-03-26,501.729,506.566,491.875,492.551,11129948
2024-03-27,495.938,496.524,484.784,490.535,9922434
2024-03-28,489.521,489.571,481.883,482.31,15110363
2024-04-01,483.919,494.081,478.536,488.042,9184735
2024-04-02,481.833,494.18,481.387,494.021,11006385
2024-04-03,495.57,503.824,495.392,503.328,12017728
2024-04-04,512.943,526.431,507.142,507.48,26298021
2024-04-05,513.38,527.127,510.946,523.789,19133589
2024-04-08,525.716,527.911,515.396,515.754,13171309
2024-04-09,518.714,522.329,503.328,513.419,10790647
2024-04-10,505.861,519.041,502.394,516.33,11341613
2024-04-11,517.601,520.333,513.807,519.637,10299677
2024-04-12,514.264,516.687,505.9,508.453,11903802
2024-04-15,513.241,515.039,493.932,496.862,13421911
2024-04-16,494.756,501.371,493.763,496.395,9781588
2024-04-17,499.712,499.772,483.86,490.842,12111594
2024-04-18,496.454,508.761,495.68,498.421,14708985
2024-04-19,499.414,499.414,472.527,477.831,25045611
2024-04-22,486.422,488.697,470.212,478.486,17154803
