date,open,high,low,close,volume
2019-01-02,92.8244,94.8757,92.2556,94.2883,32942490
2019-01-03,93.3373,93.4165,90.6332,90.8197,39701828
2019-01-04,92.9829,95.5844,92.2463,95.0436,41083881
2019-01-07,94.7732,96.2913,94.1578,95.1648,33247203
2019-01-08,96.0786,96.9458,94.8416,95.8548,29385296
2019-01-09,96.8432,97.7943,96.2693,97.2255,30099941
2019-01-10,96.2465,96.7407,95.4632,96.6008,28036201
2019-01-11,96.2185,96.4516,94.7732,95.8548,26401283
2019-01-14,95.0156,95.9216,94.4189,95.1555,26515870
2019-01-15,95.5844,97.9528,94.997,97.9155,29453552
2019-01-16,98.1486,99.0764,97.8689,98.2605,27836934
2019-01-17,97.9063,99.4215,97.6825,98.9506,26474806
2019-01-18,100.2,100.61,98.7547,100.433,34898981
2019-01-22,99.538,99.8644,97.7757,98.5403,30184261
2019-01-23,98.9506,99.8084,98.2233,99.5007,24126229
2019-01-24,99.7555,99.8862,98.3366,99.1394,21624749
2019-01-25,100.11,100.708,99.5035,100.045,29142676
2019-01-28,99.1954,99.4008,97.7018,98.0939,27517002
2019-01-29,97.9072,97.9912,95.3774,96.0962,29396952
2019-01-30,97.6645,99.3075,97.3938,99.3075,46182815
2019-01-31,96.899,98.2246,96.3202,97.4871,51937474
2019-02-01,96.8756,97.1789,95.5454,95.9468,33173142
2019-02-04,96.0308,98.766,95.9375,98.71,29233319
2019-02-05,99.0087,100.138,98.9154,100.092,25508673
2019-02-06,99.8862,99.8862,98.5139,98.9807,19239540
2019-02-07,98.1919,98.5699,97.3564,98.2712,27782080
2019-02-08,97.4498,98.7474,97.3287,98.6447,20034284
2019-02-11,99.1394,99.4942,97.9865,98.2526,17656640
2019-02-12,99.0834,100.017,98.4672,99.7835,23390731
2019-02-13,100.353,100.614,99.6155,99.7089,17171914
2019-02-14,99.2421,100.157,98.6353,99.7929,20336373
2019-02-15,100.736,101.1,100.225,101.025,24837958
2019-02-19,100.624,101.436,100.614,100.978,16839188
2019-02-20,101.119,101.194,99.6471,100.453,20257246
2019-02-21,100.219,102.638,100.191,102.572,27246864
2019-02-22,103.172,104.25,102.957,104.035,26028101
2019-02-25,104.775,105.169,104.307,104.616,22266267
2019-02-26,104.307,106.163,104.222,105.338,20190742
2019-02-27,104.71,105.338,103.95,105.16,20144182
2019-02-28,105.038,105.825,104.747,105.029,27266282
2019-03-01,105.835,105.957,104.686,105.497,22032415
2019-03-04,105.957,106.172,103.875,105.244,24945092
2019-03-05,105.235,105.366,104.279,104.719,18317236
2019-03-06,104.879,105.619,104.466,104.766,16581622
2019-03-07,104.438,104.578,102.999,103.491,23755351
2019-03-08,102.338,103.791,102,103.604,21392356
2019-03-11,104.053,105.891,104.044,105.779,24835981
2019-03-12,105.769,106.866,105.61,106.519,24499506
2019-03-13,106.997,107.813,106.669,107.344,33294268
2019-03-14,107.382,108,107.185,107.428,28840759
2019-03-15,108.132,109.922,107.428,108.666,51216420
2019-03-18,108.91,110.26,108.797,110.222,29257211
2019-03-19,110.71,111.038,109.678,110.297,35239509
2019-03-20,110.053,111.328,109.416,110.175,26356352
2019-03-21,109.814,113.269,109.772,112.707,27988633
2019-03-22,112.032,112.116,109.725,109.735,31523087
2019-03-25,109.275,110.635,109.053,110.307,25375505
