date,open,high,low,close,volume
2022-01-03,60.561,60.999,59.056,59.737,3068808
2022-01-04,59.991,60.041,58.16,59.115,4393135
2022-01-05,59.2,59.284,56.688,56.752,4148749
2022-01-06,55.434,56.336,54.201,55.329,5711795
2022-01-07,54.946,55.343,53.8218,54.106,3382873
2022-01-10,53.849,54.369,52.632,53.985,4486145
2022-01-11,53.699,54.391,53.007,54.084,3077836
2022-01-12,54.427,54.427,53.202,53.722,3787372
2022-01-13,53.706,54.079,51.826,51.92,4475063
2022-01-14,51.76,53.837,51.188,52.569,7861109
2022-01-18,52.008,52.175,50.868,51.08,4844418
2022-01-19,51.5,52.321,51.051,51.586,4353508
2022-01-20,51.775,52.664,50.693,50.825,12658990
2022-01-21,40.0425,40.915,37.999,39.75,58904269
2022-01-24,38.391,38.726,35.146,38.715,32386781
2022-01-25,37.914,38.771,36.513,36.642,15145819
2022-01-26,37.827,38.266,35.662,35.97,12683980
2022-01-27,38.206,39.48,37.81,38.67,24324750
2022-01-28,38.676,38.7,37.208,38.436,11966610
2022-01-31,40.197,42.77,39.82,42.714,20047449
2022-02-01,43.296,45.848,42.554,45.713,22568100
2022-02-02,44.825,45.198,42.648,42.948,14346010
2022-02-03,42.144,42.926,40.428,40.56,9905210
2022-02-04,40.731,41.277,39.6639,41.017,7789797
2022-02-07,41.017,41.235,39.355,40.21,8232859
2022-02-08,39.818,40.661,39.583,40.353,6818543
2022-02-09,40.865,41.298,39.879,41.289,7738228
2022-02-10,40.21,40.8,39.636,40.627,8452915
2022-02-11,40.533,41.161,38.765,39.131,7558939
2022-02-14,38.759,40.936,38.6891,39.657,7202155
2022-02-15,40.379,40.9162,40.101,40.746,5395641
2022-02-16,40.153,40.156,39.0384,39.808,5277650
2022-02-17,39.4235,39.911,38.57,38.667,4669222
2022-02-18,39.253,40.287,38.9047,39.129,6801668
2022-02-22,38.895,39.242,37.302,37.738,6697515
2022-02-23,38.272,38.6,36.666,36.746,4614290
2022-02-24,35.509,39.073,35.472,39.003,7068724
2022-02-25,38.661,39.129,37.558,39.08,4841636
2022-02-28,38.733,39.775,38.213,39.452,5035046
2022-03-01,39.16,39.5,38.3705,38.624,3290439
2022-03-02,38.893,38.922,37.521,38.003,5356809
2022-03-03,38.6,38.612,36.465,36.807,6076836
