date,open,high,low,close,volume
2023-01-03,14.8353,14.9802,14.0811,14.2999,40085331
2023-01-04,14.5517,14.8374,14.226,14.7335,43087030
2023-01-05,14.4758,14.5487,14.1331,14.25,38875887
2023-01-06,14.4587,14.9941,14.0192,14.8433,40461562
2023-01-09,15.2679,16.039,15.125,15.6115,50369822
2023-01-10,15.4906,15.9451,15.4557,15.8922,38369567
2023-01-11,15.8228,16.0111,15.5466,15.9841,35291174
2023-01-12,16.083,16.6195,15.4757,16.4936,55082796
2023-01-13,16.2609,16.9042,16.148,16.8812,44681597
2023-01-17,16.8811,17.7093,16.8811,17.6833,51056227
2023-01-18,17.6484,17.8542,17.2638,17.3587,43916061
2023-01-19,17.018,17.1788,16.7133,16.7473,45245340
2023-01-20,16.9931,17.8372,16.8073,17.8202,56437170
2023-01-23,18.045,19.2247,17.7987,19.1728,65447304
2023-01-24,18.8072,19.4745,18.8002,19.2447,49568119
2023-01-25,18.8925,19.3496,18.5604,19.3026,44906251
2023-01-26,19.6802,20.1447,19.2577,19.7811,48901871
2023-01-27,19.4415,20.6062,19.3845,20.3435,54156967
2023-01-30,19.929,20.1188,19.1298,19.1418,48809613
2023-01-31,19.1493,19.6662,18.93,19.5164,49749148
2023-02-01,19.6702,21.1696,19.5903,20.9209,65978006
2023-02-02,20.9778,21.9258,20.6782,21.6861,56368054
2023-02-03,20.9779,21.7221,20.7671,21.0778,42891427
2023-02-06,20.7841,21.5473,20.7641,21.0668,45172109
2023-02-07,21.3594,22.2355,21.1277,22.1496,66344862
2023-02-08,22.3634,22.8539,21.9848,22.1816,55906143
2023-02-09,22.5822,22.9958,22.0967,22.3135,52332462
2023-02-10,21.6672,22.0544,20.7891,21.2426,55015662
2023-02-13,21.5153,22.0247,20.9399,21.765,47441725
2023-02-14,21.5553,23.0245,21.3435,22.9468,67476190
2023-02-15,22.5252,22.8309,22.0827,22.74,42074426
2023-02-16,22.1097,22.5262,21.9037,21.9788,41159187
2023-02-17,21.6082,21.7171,20.9529,21.3655,46539751
2023-02-21,20.9778,21.4711,20.5962,20.6332,40958186
2023-02-22,20.6851,21.0817,20.3995,20.7321,51264281
2023-02-23,23.4153,23.8629,23.0008,23.6391,111681868
2023-02-24,23.2006,23.4493,22.9229,23.2615,58909547
2023-02-27,23.645,23.8547,23.4292,23.4762,45251563
2023-02-28,23.3473,23.7999,23.1815,23.1915,45548162
2023-03-01,23.1676,23.2311,22.4843,22.6741,45954120
2023-03-02,22.4643,23.3557,22.4083,23.2894,38966313
2023-03-03,23.2954,23.8748,23.1056,23.8648,41195827
2023-03-06,23.8658,24.2225,23.4623,23.5292,43696865
2023-03-07,23.5791,24.1037,23.2204,23.2674,51469821
2023-03-08,23.4662,24.1786,23.4028,24.1596,51311889
2023-03-09,24.1536,24.4324,23.3622,23.4153,50081425
2023-03-10,23.3883,23.6061,22.7059,22.9447,47444590
2023-03-13,22.7319,23.2774,22.2773,22.9457,42151739
2023-03-14,23.4752,24.1976,23.4392,24.0417,47448970
2023-03-15,23.74,24.2645,23.3394,24.2066,52402239
2023-03-16,24.0057,25.5654,23.8729,25.5184,58442873
2023-03-17,25.959,26.3756,25.6453,25.7022,84779449
2023-03-20,25.5924,26.001,25.1076,25.8771,43236456
2023-03-21,26.1568,26.3686,25.3585,26.1758,54692306
2023-03-22,26.4016,27.5646,26.2138,26.4446,79659027
2023-03-23,27.0916,27.4747,26.6664,27.167,56439015
2023-03-24,27.0071,27.143,26.3317,26.7553,45501100
2023-03-27,26.8132,26.9761,26.3416,26.5075,36070588
2023-03-28,26.4236,26.4895,25.8271,26.3866,35578827
2023-03-29,26.8012,27.054,26.5734,26.9601,39334521
2023-03-30,27.2049,27.4747,27.078,27.3588,36419351
2023-03-31,27.116,27.8097,27.081,27.7524,43354850
2023-04-03,27.4847,27.9753,27.3119,27.9403,39836342
2023-04-04,27.9412,27.9752,27.2828,27.4287,36826526
2023-04-05,26.8052,26.9741,26.3716,26.8572,51455874
2023-04-06,26.5605,27.0561,26.4036,27.0131,39730282
2023-04-10,26.7993,27.5966,26.6454,27.5546,39492887
2023-04-11,27.699,27.7655,27.102,27.145,31410051
2023-04-12,27.3458,27.4437,26.4241,26.4716,44586485
2023-04-13,26.7104,26.8631,26.3057,26.4396,35330258
2023-04-14,26.4805,26.8592,26.1968,26.7343,39530963
2023-04-17,26.542,26.9821,26.4098,26.9781,32118677
2023-04-18,27.5091,28.0851,27.3328,27.6425,60427593
2023-04-19,27.3368,27.9752,27.2079,27.9063,35834321
2023-04-20,27.6465,28.0052,26.9761,27.08,42733455
2023-04-21,26.9281,27.1589,26.6984,27.095,34479740
2023-04-24,26.9891,27.3418,26.6474,27.0181,33898205
2023-04-25,27.0541,27.2229,26.2018,26.2178,37819253
2023-04-26,26.9782,27.3059,26.6815,26.9322,40597803
2023-04-27,27.3388,27.4707,26.6014,27.2019,37682735
