date,open,high,low,close,volume
2021-01-04,203.849,205.522,199.002,202.835,447963
2021-01-05,202.606,206.162,202.377,205.158,497386
2021-01-06,202.262,206.373,201.966,203.82,610380
2021-01-07,201.287,206.573,199.738,205.78,557707
2021-01-08,205.149,209.489,204.661,209.298,483811
2021-01-11,209.068,211.449,207.912,210.598,305620
2021-01-12,210.034,210.502,206.076,207.329,322636
2021-01-13,207.176,207.921,205.665,206.946,416703
2021-01-14,207.539,208.265,203.648,203.887,402172
2021-01-15,203.486,204.499,200.981,202.3,371677
2021-01-19,204.241,207.128,203.208,205.436,379803
2021-01-20,206.334,209.221,204.346,208.361,425689
2021-01-21,208.676,208.935,204.642,207.51,386399
2021-01-22,207.845,207.893,205.158,206.028,284876
2021-01-25,206.42,214.135,206.239,211.917,469950
2021-01-26,211.707,214.546,209.594,212.491,436300
2021-01-27,209.479,211.028,203.639,204.633,503408
2021-01-28,206.22,210.292,204.843,206.42,478840
2021-01-29,203.333,203.333,190.14,192.693,1099354
2021-02-01,194.786,194.949,190.064,193.744,812566
2021-02-02,195.293,199.681,194.949,197.568,1004427
2021-02-03,195.417,197.157,194.06,194.261,926325
2021-02-04,194.203,197.138,192.941,195.073,726529
2021-02-05,195.867,197.96,191.919,193.266,788476
2021-02-08,193.687,195.044,191.957,192.674,714102
2021-02-09,192.731,194.509,190.8,191.058,1172007
2021-02-10,192.878,193.05,190.713,191.949,903424
2021-02-11,193.137,193.673,191.106,192.073,805055
2021-02-12,191.432,192.476,190.359,192.092,1172190
2021-02-16,192.006,192.006,184.88,185.915,842602
2021-02-17,185.12,193.089,183.041,191.307,709272
2021-02-18,189.344,192.955,187.936,191.451,587341
2021-02-19,191.633,194.65,191.633,192.696,882735
2021-02-22,191.623,192.639,190.072,191.585,750267
2021-02-23,191.805,193.194,190.167,191.652,765497
2021-02-24,191.144,194.411,190.617,192.495,415219
2021-02-25,191.25,192.351,185.732,186.757,583988
2021-02-26,186.997,187.227,182.696,184.65,691744
2021-03-01,186.145,188.596,186.145,187.37,443571
2021-03-02,187.562,188.098,184.238,185.062,477765
2021-03-03,183.712,183.712,180.522,182.189,369913
2021-03-04,181.528,182.141,173.635,175.331,944227
2021-03-05,177.945,177.945,173.626,177.246,925454
2021-03-08,177.246,178.252,171.806,171.892,857448
2021-03-09,173.607,177.428,173.099,174.574,1170467
2021-03-10,177.055,178.894,175.944,177.572,706495
2021-03-11,179.622,180.359,178.396,178.836,573644
2021-03-12,177.907,178.673,176.7,177.313,484470
2021-03-15,177.658,179.708,177.658,179.2,859364
2021-03-16,183.941,185.321,182.572,183.893,712720
2021-03-17,183.194,183.999,181.614,183.395,560138
2021-03-18,181.997,183.041,177.055,177.285,600846
2021-03-19,177.792,178.549,176.825,177.773,992981
2021-03-22,177.361,181.834,176.94,181.786,431981
2021-03-23,183.012,184.123,180.962,182.696,549985
2021-03-24,185.349,187.217,183.319,184.076,824403
2021-03-25,183.893,183.893,178.242,179.622,633604
2021-03-26,178.769,182.984,177.783,182.878,401043
2021-03-29,181.988,184.305,181.595,182.993,572590
2021-03-30,182.016,183.127,179.296,181.327,474508
2021-03-31,183.271,187.61,182.38,185.838,792220
2021-04-01,185.953,186.757,184.353,186.24,465217
2021-04-05,187.878,188.232,185.905,186.882,450467
2021-04-06,187.093,188.97,186.671,188.012,649408
2021-04-07,188.683,190.321,187.533,188.807,610328
2021-04-08,190.234,190.426,188.28,188.922,554774
2021-04-09,189.736,190.771,189.114,190.761,376331
2021-04-12,190.1,193.328,190.1,193.232,433992
2021-04-13,193.481,197.399,192.686,196.786,630060
2021-04-14,196.432,200.119,196.432,198.922,894037
2021-04-15,198.702,199.497,195.158,195.589,661189
2021-04-16,196.958,199.056,195.857,198.759,455352
2021-04-19,197.916,198.271,195.972,196.987,381695
2021-04-20,197.361,198.635,196.25,197.025,334761
2021-04-21,198.156,200.177,197.686,199.717,256123
2021-04-22,199.592,201.02,198.577,199.439,313497
2021-04-23,199.995,200.732,198.491,200.474,268671
