date,open,high,low,close,volume
2022-01-03,382.583,400.357,378.68,399.927,34643800
2022-01-04,396.517,402.667,374.35,383.197,33416100
2022-01-05,382.217,390.113,360.337,362.707,26706600
2022-01-06,359,362.667,340.167,354.9,30112200
2022-01-07,360.123,360.31,336.667,342.32,28054900
2022-01-10,333.333,353.033,326.667,352.707,30605000
2022-01-11,351.223,358.617,346.273,354.8,22021100
2022-01-12,359.617,371.613,357.53,368.74,27913000
2022-01-13,369.69,371.867,342.18,343.853,32403300
2022-01-14,339.96,350.667,337.793,349.87,24308100
2022-01-18,342.203,356.93,338.687,343.503,22247800
2022-01-19,347.237,351.557,331.667,331.883,25147500
2022-01-20,336.577,347.22,331.333,332.09,23496200
2022-01-21,332.113,334.85,313.5,314.633,34472000
2022-01-24,301.587,311.17,283.823,310,50521900
2022-01-25,304.733,317.087,301.07,306.133,28865300
2022-01-26,317.477,329.23,302,312.47,34955800
2022-01-27,311.12,311.797,276.333,276.367,49036500
2022-01-28,277.187,285.833,264.003,282.117,44929700
2022-01-31,290.903,312.663,287.35,312.24,34812000
2022-02-01,311.737,314.567,301.667,310.417,24379400
2022-02-02,309.393,310.5,296.47,301.887,22264300
2022-02-03,294,312.333,293.507,297.047,26285200
2022-02-04,299.073,312.167,293.723,307.773,24541800
2022-02-07,307.93,315.923,300.903,302.447,20331500
2022-02-08,301.843,308.763,298.267,307.333,16909700
2022-02-09,311.667,315.423,306.667,310.667,17419800
2022-02-10,302.79,314.603,298.9,301.517,22042300
2022-02-11,303.21,305.32,283.567,286.667,26548600
2022-02-14,287.19,299.627,284.383,291.92,22585500
2022-02-15,300,307.667,297.793,307.477,19095400
2022-02-16,304.683,308.81,300.403,307.797,17098100
2022-02-17,304.42,306.167,291.367,292.117,18392800
2022-02-18,295.333,295.623,279.203,285.66,22833900
2022-02-22,278.043,285.577,267.033,273.843,27762700
2022-02-23,276.81,278.433,253.52,254.68,31752300
2022-02-24,233.463,267.493,233.333,266.923,45107400
2022-02-25,269.743,273.167,260.8,269.957,25355900
2022-02-28,271.67,292.287,271.57,290.143,33002300
2022-03-01,289.893,296.627,284.593,288.123,24922300
2022-03-02,290.71,295.493,281.423,293.297,24881100
2022-03-03,292.923,295.48,277.533,279.763,20541200
2022-03-04,283.033,285.217,275.053,279.43,22333200
2022-03-07,285.433,288.713,268.19,268.193,24164700
2022-03-08,265.177,283.33,260.723,274.8,26799700
2022-03-09,279.827,286.853,277.337,286.323,19728000
2022-03-10,283.817,284.817,270.12,279.433,19549500
2022-03-11,280.067,281.267,264.59,265.117,22345700
2022-03-14,260.203,266.9,252.013,255.457,23717400
2022-03-15,258.423,268.523,252.19,267.297,22280400
2022-03-16,269.667,280.667,267.42,280.077,28009600
2022-03-17,276.997,291.667,275.24,290.533,22194300
2022-03-18,291.497,302.617,289.13,301.797,33471400
2022-03-21,304.993,314.283,302.363,307.053,27327200
2022-03-22,310,332.62,307.25,331.327,35289500
2022-03-23,326.647,346.9,325.467,333.037,40225400
2022-03-24,336.577,341.497,329.6,337.973,22973600
2022-03-25,336,340.6,332.44,336.88,20677200
2022-03-28,355.033,365.96,351.2,363.947,34168700
2022-03-29,369.33,371.59,357.703,366.523,24538300
2022-03-30,363.723,371.317,361.333,364.663,19955000
2022-03-31,364.857,367.713,358.88,359.2,16330900
