date,open,high,low,close,volume
2008-01-02,5.9804,6.0169,5.7677,5.8163,7970048
2008-01-03,5.7738,5.8589,5.713,5.7373,6508492
2008-01-04,5.7129,5.7495,5.4091,5.4273,12538014
2008-01-07,5.4698,5.4698,5.245,5.3179,11012932
2008-01-08,5.324,5.4516,5.2875,5.324,11492596
2008-01-09,5.3665,5.5549,5.3544,5.5063,12455018
2008-01-10,5.4395,5.5246,5.3969,5.5185,9646857
2008-01-11,5.4577,5.4577,5.3665,5.403,9147538
2008-01-14,5.4942,5.5246,5.4274,5.5003,9079196
2008-01-15,5.5003,5.5307,5.324,5.3301,10463772
2008-01-16,5.2875,5.3057,5.0322,5.1538,10152283
2008-01-17,5.1963,5.33,5.0748,5.0991,11671746
2008-01-18,5.166,5.3727,5.1478,5.2511,10082878
2008-01-22,4.7527,5.0323,4.5947,4.856,12444725
2008-01-23,4.7891,5.2449,4.6797,5.2024,15860111
2008-01-24,5.2633,5.4091,5.1903,5.2815,10589014
2008-01-25,5.2997,5.5002,5.2814,5.2875,12134658
2008-01-28,5.2328,5.3179,5.1538,5.2875,7140746
2008-01-29,5.4334,5.4516,5.324,5.4091,7244828
2008-01-30,5.4152,5.5671,5.3361,5.403,11411585
2008-01-31,5.5671,5.6947,5.3422,5.6218,13598410
2008-02-01,5.7434,5.95,5.7251,5.9257,14146914
2008-02-04,5.9683,5.9744,5.8407,5.9379,7351533
2008-02-05,5.8649,5.8649,5.5549,5.5549,12540294
2008-02-06,5.5549,5.7008,5.5306,5.5367,7214666
2008-02-07,5.5306,5.6947,5.4334,5.6218,10385246
2008-02-08,5.5306,5.6704,5.5185,5.6157,5716851
2008-02-11,5.6218,5.7433,5.5792,5.7251,6967048
2008-02-12,5.7434,5.8589,5.7252,5.7981,6550042
2008-02-13,5.8345,5.9075,5.7799,5.9014,6378117
2008-02-14,5.8711,6.0047,5.8711,5.8953,12198005
2008-02-15,5.8285,5.9804,5.8102,5.9014,7473642
2008-02-19,5.944,6.0351,5.9379,5.9622,11989891
2008-02-20,5.9197,5.9561,5.8346,5.9379,7840213
2008-02-21,5.9864,6.0411,5.8041,5.8345,11303917
2008-02-22,5.8527,5.9135,5.7555,5.8831,8040328
2008-02-25,5.9318,6.0168,5.8467,5.9986,8285921
2008-02-26,6.035,6.1931,5.9803,6.1566,9650400
2008-02-27,6.0837,6.26,6.0837,6.2235,8704269
2008-02-28,6.1688,6.2053,6.0837,6.0959,8052898
2008-02-29,6.0229,6.0655,5.9074,5.9196,5703386
2008-03-03,5.9744,5.9744,5.7738,5.8528,9051851
2008-03-04,5.9986,6.114,5.9257,6.0898,17291729
2008-03-05,6.1992,6.3147,6.1931,6.26,12695167
2008-03-06,6.2599,6.3571,6.1627,6.1809,11974501
2008-03-07,6.1567,6.2721,6.0351,6.1202,14031900
2008-03-10,6.0777,6.1384,5.9865,6.0412,13205303
2008-03-11,6.1506,6.3937,6.1506,6.3937,14541176
2008-03-12,6.3207,6.3876,6.2478,6.2478,7696666
2008-03-13,6.1688,6.2478,5.9804,6.1931,12761800
2008-03-14,6.181,6.1992,5.9439,6.0047,9428534
2008-03-17,5.792,5.988,5.7859,5.8953,9940841
2008-03-18,6.0655,6.1688,5.9561,6.1688,9827259
2008-03-19,6.1383,6.2053,5.9378,5.95,8385574
2008-03-20,6.1262,6.3269,6.0594,6.2722,10927776
2008-03-24,6.6429,6.7887,6.5943,6.7462,13958768
2008-03-25,6.7462,6.7462,6.6125,6.655,11193951
2008-03-26,6.6549,6.6549,6.4726,6.5213,15672780
2008-03-27,6.497,6.497,6.1992,6.2721,21996162
2008-03-28,6.2904,6.2964,6.1261,6.1809,14850272
2008-03-31,6.1748,6.3025,6.1748,6.2417,13921280
2008-04-01,6.26,6.4727,6.26,6.4423,12835852
2008-04-02,6.4727,6.5031,6.3451,6.3633,12236600
2008-04-03,6.2904,6.503,6.2904,6.4787,9236309
2008-04-04,6.4302,6.4666,6.3208,6.339,10960205
2008-04-07,6.345,6.4666,6.3207,6.3754,10467744
2008-04-08,6.3208,6.3876,6.2721,6.2843,9364471
2008-04-09,6.2721,6.3025,6.1688,6.1931,7924211
2008-04-10,6.266,6.4605,6.266,6.3876,14406775
2008-04-11,6.3207,6.3571,6.2235,6.2478,9906631
2008-04-14,6.3025,6.3025,6.1992,6.1992,10931444
2008-04-15,6.3146,6.3146,6.2356,6.2964,10642350
2008-04-16,6.4666,6.6611,6.4545,6.6611,10249996
2008-04-17,6.6003,6.6672,6.5396,6.6368,8478994
2008-04-18,6.7097,6.8009,6.6489,6.7279,8150185
2008-04-21,6.7218,6.7583,6.6489,6.7279,5390048
2008-04-22,6.7218,6.7218,6.503,6.5395,10914405
2008-04-23,6.503,6.5334,6.4058,6.4787,9593889
2008-04-24,6.4362,6.5759,6.3625,6.5213,7416424
2008-04-25,6.503,6.5334,6.3693,6.5213,6843822
2008-04-28,6.5638,6.6854,6.5638,6.6307,7369390
2008-04-29,6.5942,6.6489,6.5456,6.5821,8882961
2008-04-30,6.6672,6.8799,6.6672,6.8313,11539916
2008-05-01,6.8374,6.9103,6.7766,6.8799,8728063
